basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
oueme_at,0.8060529926456806,0.816161889490187,0.3924841697197558,0.899370014667511,-25.872225,-1032784800000.0
oueme_be,0.929830763490346,0.923914301362041,0.2495105541821679,0.9647966027259827,-10.261177,-1279071500000.0
oueme_bo,0.9627038160609299,0.9671282407126579,0.09680532711034176,0.9812093377113342,-0.9287129,4.973254
oueme_do,0.9140809188939929,0.9373438321086823,0.23653252487302717,0.9560763239860535,1.9877741,-3667.5388
oueme_sa,0.9372782045570186,0.9364070613563367,0.21536041903054176,0.9684181809425354,-8.630204,-358.12384
oueme_za,0.9561129054813211,0.9650993147647429,0.1387119302523427,0.9778225421905518,-2.1928341,-38.160473
