basin,NSE,KGE,RMSE,Pearson-r,FHV,FLV
camelsaus_102101A,0.984496267494988,0.9791644798140087,1.1964537713461325,0.9922608733177185,-1.7132709,-45.213055
camelsaus_104001A,0.9650810317567119,0.9588338723337293,0.8554388589731853,0.9824293851852417,-4.066502,-867198900000.0
camelsaus_105101A,0.9660590378193444,0.9418536102792137,0.6333611076522322,0.9830204248428345,-2.0904443,-3400.2632
camelsaus_105105A,0.9795870797426695,0.9669743038811633,0.7675401129786511,0.9898021817207336,-2.485566,-191.30795
camelsaus_107001B,0.9399470778330988,0.9428716178572324,0.8927491606401543,0.9696715474128723,-3.5221148,-143.55305
camelsaus_108002A,0.9888510559365277,0.9831409608154956,0.896808175179365,0.9944584369659424,-1.6428993,-306.87393
camelsaus_108003A,0.9863505537787263,0.964216547983413,1.77326870421663,0.9935104846954346,-1.7286109,-590.8207
camelsaus_112002A,0.984276302480011,0.9795169415638904,1.5693711073328476,0.9921567440032959,-1.7759748,19.081194
camelsaus_112102A,0.9851911979884228,0.9814743274329212,1.2564342363682623,0.9926075339317322,-1.3907337,-35.553024
camelsaus_116006B,0.9819735628371508,0.9711345753853232,0.5518596993957376,0.9910678863525391,-2.1325889,-5.4197683
camelsaus_122004A,0.9882628858013531,0.9629147249352084,1.5698683380998886,0.9946024417877197,-2.601751,-272.2647
camelsaus_804001,0.9036227628092092,0.8921391662448637,0.7479090949678526,0.9511507749557495,-9.58723,-2668.9258
camelsaus_917107A,0.7501544764024822,0.8004991564607492,0.5211562935557573,0.8662248253822327,-14.79858,-104.71355
camelsaus_919003A,0.9543070632122174,0.9521459206209872,0.635052237727448,0.9770366549491882,-3.800941,-65.80468
camelsaus_919201A,0.9483479669730996,0.9438475319444489,0.8650360224505242,0.9739087820053101,-5.6393948,-520.0394
camelsaus_919309A,0.9404155818120559,0.9482142872057083,0.574022090737657,0.9698235392570496,-3.592116,-0.0
camelsaus_922101B,0.9579103905457159,0.9633740110887818,1.1326038563077476,0.9787523746490479,-3.414058,-52.91004
camelsaus_925001A,0.9370417285732684,0.9456392916239064,0.6980732746821131,0.9680837988853455,-2.815409,-1684.0701
camelsaus_926002A,0.9343590977539971,0.9450227873412081,0.7335830232691157,0.9667038321495056,-3.3170998,50.545734
camelsaus_G8110004,0.8188340518472987,0.85353316398883,0.8607107705099325,0.9049972295761108,-8.683401,-24.472631
camelsaus_G8140040,0.9480420237667233,0.9553428025191281,0.331733008683342,0.9737222790718079,-4.579334,-1896.7008
camelsaus_G8140161,0.8519913863045396,0.8869678331747477,0.8477287437273726,0.9230524301528931,-11.380435,21.971035
camelsaus_G8150018,0.9740635230933488,0.9723415002244886,1.0851005237790772,0.9869751334190369,-2.4159038,-1200690400000.0
camelsaus_G8170002,0.9687459325250594,0.969432760691204,1.025386614110459,0.9842804670333862,-3.1664596,-8.668104
camelsaus_G8190001,0.9830742366191467,0.9772801804412483,0.871976259975824,0.9915624856948853,-2.6898794,-128668850000.0
camelsaus_G8200045,0.9594147409210014,0.9571856887077034,0.9756136442570723,0.9795651435852051,-3.2159436,8.789735
camelsaus_G8210010,0.9635274085685469,0.9663898364279989,1.089159022340652,0.9816431999206543,-4.3811436,11.362916
camelsaus_G9070142,0.9268918227420297,0.8978772217453922,0.4607636398618834,0.9630321860313416,-5.525333,-797928500000.0
camelsbr_21500000,0.8303015016764392,0.8693780477197447,0.30326554245441323,0.9121838212013245,-8.575473,-95.48625
camelsbr_33025000,0.6598741252185927,0.6449144295554712,0.2448477917442897,0.8249561786651611,-20.339956,-1530.2959
camelsbr_33205000,0.6197409457100975,0.7173976470095547,0.2819232300563688,0.7927976250648499,-27.405554,-177.4635
camelsbr_33250000,0.6641386987065538,0.8097283660392824,0.09391132521124929,0.8240086436271667,-17.623135,-6482.228
camelsbr_33260000,0.6897193868741538,0.8089697908768736,0.08812159019748723,0.8603107333183289,-11.706012,-1824.5518
camelsbr_33281000,0.7932905327828276,0.826685098876996,0.12337924331007874,0.8975073099136353,-11.562408,-251.70102
camelsbr_33286000,0.8333336080460766,0.8640252737134115,0.13034450245532356,0.9146409034729004,-5.281679,-164.33325
camelsbr_33290000,0.8342549451138495,0.8568453849564803,0.1362753694980499,0.914362907409668,-6.3494997,-312.3676
camelsbr_33321000,0.6100691392665287,0.6485627691011409,0.5468644004884494,0.7839034199714661,-31.364882,-1372.1517
camelsbr_33330000,0.7633306051399444,0.7869659936746183,0.4382352101016802,0.8747852444648743,-12.062749,-1830.4749
camelsbr_33380000,0.8390779948538547,0.8554004724118682,0.269772366467955,0.917103111743927,-12.999055,-811.1022
camelsbr_33460000,0.03327914675144816,0.5271716737523211,0.07811014809104734,0.8190852403640747,11.067121,-112.401344
camelsbr_33480000,0.6873813910590979,0.7914699429229054,0.057370185780711874,0.8305124640464783,-5.046485,-241.82964
camelsbr_33520000,0.5191456346908019,0.49801839079927024,0.1389857353542713,0.7442612051963806,-26.465113,-2452.5608
camelsbr_33550000,0.6243336805257306,0.7719150242381025,0.07752817891894884,0.8459634184837341,-4.487146,-4880.337
camelsbr_33630000,0.7966454111904862,0.863963509291642,0.18121259772035014,0.8928579092025757,-8.886961,-3808.985
camelsbr_33680000,0.8310101057500364,0.8546904017707961,0.21995692575136452,0.9121457934379578,-20.788105,-3022.1624
camelsbr_34879500,0.8153781994429131,0.8729416897987722,0.07170120404850552,0.903460681438446,-8.628676,-586.5554
camelsbr_34930000,0.9087022686568189,0.9148173558026229,0.4369694012659765,0.9534730315208435,-5.616007,-114.26324
camelsbr_35740000,0.8089861693431544,0.8600647554962059,0.9784442015143952,0.8994424939155579,-12.536943,-19.876032
camelsbr_39580000,0.7951666403709337,0.8395625823560603,0.84923918979335,0.8918060064315796,-13.823326,73.41617
camelsbr_40330000,0.8216797257820694,0.8653146052937806,0.500373313538842,0.90670245885849,-9.304793,32.878326
camelsbr_40822995,0.6147487114012533,0.7423421591714678,0.7943695548986683,0.8253554105758667,2.0003002,-89.404625
camelsbr_40823500,0.7496909328759198,0.6484444970849781,1.1049749127297623,0.8897091150283813,-28.731394,-304.40643
camelsbr_41050000,0.7834900105511511,0.8280101859248112,1.1013526446063369,0.8853467106819153,-12.240482,32.949646
camelsbr_41135000,0.7754031425963938,0.8422461924765099,0.3738535602331181,0.880959689617157,-7.298117,63.477993
camelsbr_41380000,0.7832528277733553,0.8347626902817556,0.9860831683562327,0.8852850794792175,-11.676409,58.923637
camelsbr_41440005,0.6938500158901311,0.7454367315691188,0.5959282371549256,0.8334822654724121,-17.68576,56.286198
camelsbr_41650002,0.8037324307036058,0.8522229444080721,0.4529148633997633,0.898585319519043,-11.711869,2.3303096
camelsbr_41818000,0.8626875235783702,0.8989034875470358,0.41927257284747377,0.9288424849510193,-7.125469,-6.4173675
camelsbr_41990000,0.8736037808800137,0.8944999962545102,0.3775826173969341,0.935012698173523,-10.838017,-65.61638
camelsbr_42100000,0.8509458921264983,0.8754075313198071,1.1290465271065666,0.922609806060791,-17.70608,-1377.2107
